category,sku,image_url,product_title,link
home,110488,/medias/110488-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyNzU1NHxpbWFnZS9wbmd8aW1hZ2VzL2hiMS9oNTYvOTM1NTE4NDc2NzAwNi5wbmd8OTJkNmYyNTg5NGZmOWNlYzcxODIwNDE0ZWU2M2E5ZTE2ZDAxMmJhYjgwZjBlMGYxNWFiZjNlMjRkZGEzZDg5Nw,Amway Home Dish Drops Dishwashing Liquid – Original Scent,https://amway.com/share-link/iQcurZ4Bc
beauty,123798V,/medias/123798V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w1MDU4OHxpbWFnZS9wbmd8aW1hZ2VzL2g3NC9oZDYvOTM1NTQyMjQ5ODg0Ni5wbmd8YjhhOGM1NDkzODA2ODE5OTFmOTRmNzkxMzE4NmI4MjNjYjAxNzhkZGU0YTAzNTk2NmUyOTc5YTk3ZDdjNzRmOA,Artistry Skin Nutrition Hydrating Gel Cream,https://amway.com/share-link/m53wTY2ME
beauty,123785V,/medias/123785V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMjAyMHxpbWFnZS9wbmd8aW1hZ2VzL2g4MS9oNmQvOTM1NTI5NjI0Mzc0Mi5wbmd8ZDZjNzcxZGRlOWMwMjcwODg1MzVkNGIwMWU2MmE4MjM0MjNkZjA2NGExOWZjZTA0YmYxMDM3OTliNzFhNjUwOQ,Artistry Skin Nutrition Renewing Reactivation Cream,https://amway.com/share-link/NlU2977dr
home,E0001,/medias/E0001-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzMzI2OHxpbWFnZS9wbmd8aW1hZ2VzL2hjZi9oZjEvOTM1NTQwMzYyNDQ3OC5wbmd8M2Q0NGI4N2RlNTMxYjMzMmQwMWEwODk3ZjZkMWRiNjQwNWI2NTBlMTc2NmNhOGY3Mzk4NjJkYTViOWY1NTdiNA,Amway Home L.O.C. Multi-Purpose Cleaner,https://amway.com/share-link/QgyFLIUdH
beauty,118185V,/medias/118185V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyMDYwNXxpbWFnZS9wbmd8aW1hZ2VzL2g4OS9oZDkvOTM1NTIwMjMzMDY1NC5wbmd8MTRjNTA1MzBlZDYxMTAzODk3NmEyMTgyMGNjOWY2OTRhYzRhMGE3MGYyYzlmMDQ4MGRlNWFiNmZmY2EwNTY1Zg,Artistry Supreme LX Regenerating Eye Cream,https://amway.com/share-link/FADW3DJo3
beauty,117809,/medias/117809-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzNzAzMnxpbWFnZS9wbmd8aW1hZ2VzL2gzMS9oMjQvOTQyNTA3ODcxNDM5OC5wbmd8NzMwYTNkZDc3NGU0MDIxODI0YzZlZjFiOTIzMDQ5MzhhZDE0NGVjOWI1YjY4NGQzNmViMzMyYmZiZTM3ZTJhOA,Artistry Ideal Radiance UV Protect SPF 50+,https://amway.com/share-link/JZK8qlqDZ
beauty,125517V,/medias/125517V-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzNzI2N3xpbWFnZS9wbmd8aW1hZ2VzL2g5Ni9oZjAvOTQxNzQ1MjMyMjg0Ni5wbmd8NGJlYzEwNGM2MjE2YzgyNWNkZmQxMGQwMTg3YTAwNjg1NGFiMDczMjE2Y2M5YjVlNGM2NTA4NDdmMTRmYmMzNg,Artistry Skin Nutrition Vitamin C + HA3 Daily Serum,https://amway.com/share-link/Hk020NrOQ
home,117780,/medias/117780-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wzODY3MHxpbWFnZS9wbmd8aW1hZ2VzL2hjOS9oYTcvOTM1NTIyMTU2NTQ3MC5wbmd8NmI2MDVkZDc1MWY4ZjdmZmRjNzAyNDIzYjQ2MGU1ZWYxZjU1ZjFjMGNiYWQ1NzYyNjM1ZTIyNDVhYmE0MDk2Nw,Amway Home Fabric Softener – Floral Scent,https://amway.com/share-link/UCGdbvT6y
home,109867,/medias/109867-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w2MDI2OHxpbWFnZS9wbmd8aW1hZ2VzL2hhMS9oOTIvOTM1NTAwMjk3MDE0Mi5wbmd8OWIxYzY5MTNmZWRhODQwYTk4NWQzOTgxMTNlMjk3YTUzNDA4OGI4NjE0YjY2NTZhMzFhMjRjNGUyMGZmZjdhNg,Amway Home Automatic Dish Tablets,https://amway.com/share-link/btaTLix6C
beauty,123776V,/medias/123776-en-US-480px-01.jpg?context=bWFzdGVyfGltYWdlc3wzMjQ4M3xpbWFnZS9qcGVnfGltYWdlcy9oMjUvaDAwLzg4ODE3MTg4MjA4OTQuanBnfDk4OGYwMDZjM2U0YzA4MDQ2MWYyNjRjMjI5NmQ1NWVlOTU4ZWRhMWM1NTdhMzQ2MTVlZDY1NWNlYzYwYzY2MWQ,Artistry Intensive Skincare 14 Night Reset Program,https://amway.com/share-link/8Fg74KYqq
home,124746,/medias/124746-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w1ODM4NnxpbWFnZS9wbmd8aW1hZ2VzL2gzMi9oY2IvOTM1NTI3MDQyMjU1OC5wbmd8N2I3NTBiY2YzNmI5OTk4OGRjYWNkNmE3YTg0OWZjNGQzYjhjMzgyMzA2NWRiYWFjMDlmMDdjZjhjODc4MDBlNw,Atmosphere Mini Air Treatment System,https://amway.com/share-link/Ce6hxBOxp
home,110490,/medias/110490-en-US-480px-01?context=bWFzdGVyfGltYWdlc3w2MDMzOXxpbWFnZS9wbmd8aW1hZ2VzL2gyNC9oZDgvOTM1NTAxMzI5MjA2Mi5wbmd8ZjRiYzNiODVkOTkwNzY3NDA2MzljZDhlYWJmM2YxZWEwMGJkNjI5Mzk0NDhiMjcyMzhlOTMzMDAwNjVmMjhkNQ,Amway Home Scrub Buds Scouring Pads,https://amway.com/share-link/qKSEzAy3l
beauty,282717,/medias/282717-en-US-480px-01?context=bWFzdGVyfGltYWdlc3wyOTk3OHxpbWFnZS9wbmd8aW1hZ2VzL2g1OC9oMWUvOTM1NTM2MTkxMDgxNC5wbmd8YjJmNjJlYTBkNTgwZGU3NDlkYzc0N2Y5NjJiNjRhZTNmNzcyYzhjN2ZmODY1NTlmMTdjYzAyYzRjMjY2MTk5NA,Artistry Signature Select Anti-Spot Amplifier and Base Serum,https://amway.com/share-link/n1wbijfMy
